,text_final
491,"['example', 'conduct', 'interview', 'list', 'question', 'collect', 'data', 'set', 'allow', 'triangulation', 'etc']"
492,"['discuss', 'sprint', 'go', 'term', 'communication']"
493,"['list', 'question', 'interview']"
494,"['approach', 'proceed', 'answer', 'question', 'detail']"
495,"['next', 'week', 'show', 'individual', 'project', 'use', 'microservices', 'prove', 'ui']"
496,['like']
497,"['team', 'create', 'sprint', 'plan', 'start', 'coding']"
498,"['plan', 'microservice']"
499,"['software', 'engineering', 'cs']"
500,"['think', 'app', 'call', 'ethical', 'eating', 'feel', 'free', 'come', 'good', 'name', 'please', 'contact', 'question', 'need', 'help']"
501,"['tell', 'much', 'chosen', 'population']"
502,"['less', 'task']"
503,['rubric']
504,"['detailed', 'observation', 'answer', 'indicate', 'place', 'provide', 'information', 'result', 'say']"
505,"['instead', 'answer', 'question']"
506,"['however', 'least', 'one', 'path', 'use', 'case', 'persona', 'must', 'possible']"
507,"['many', 'people', 'observe', 'different', 'thing', 'also', 'team', 'member', 'must', 'participate', 'least', 'one', 'observation', 'interview']"
508,"['information', 'instruction', 'team', 'discuss', 'sprint', 'go', 'term', 'communication', 'answer', 'following', 'team', 'communication', 'question', 'go', 'well', 'go', 'wrong', 'team', 'agree', 'improve', 'sprint', 'person', 'post', 'answer', 'individually', 'post', 'say', 'agree', 'write', 'retrospective', 'contribution', 'contribute', 'do', 'everyone', 'must', 'contribute', 'retrospective', 'agreement', 'retrospective', 'must', 'unanimous', 'otherwise', 'talk']"
509,"['overview', 'implement', 'mvp']"
510,['portfolio']
511,"['guide', 'check', 'friend', 'mv', 'p']"
512,"['agree', 'use', 'microservice']"
513,"['effect', 'understand']"
514,"['mean', 'make', 'communication', 'pipe']"
515,"['download', 'template']"
516,"['q', 'software', 'use', 'make', 'diagram']"
517,"['change', 'title', 'highlight', 'anything', 'change', 'add', 'since', 'first', 'submit']"
518,"['select', 'concept', 'start', 'point', 'prototype']"
519,"['approximately', 'none', 'work', 'sign']"
520,"['lack', 'four', 'quality']"
521,"['access', 'site', 'must', 'enable', 'java', 'script']"
522,"['installment', 'take', 'underserved', 'population', 'conception', 'early', 'bit', 'gestation', 'ie', 'book', 'step']"
523,"['multiple', 'user', 'story', 'miss', 'required', 'part']"
524,"['sprint', 'plan', 'definition', 'do']"
525,"['also', 'need', 'make', 'figma', 'prototype', 'executable', 'run']"
526,"['high', 'risk', 'high', 'reward', 'situation', 'become', 'careful', 'detail', 'orient', 'try', 'figure', 'step', 'lead', 'outcome', 'want', 'like', 'abi', 'overall', 'often', 'wish', 'like', 'abi', 'would', 'get', 'much', 'trouble', 'tim', 'side', 'ok', 'mistake', 'two', 'facet', 'value']"
527,"['non', 'trivial', 'relate', 'new', 'persona', 'point', 'directly', 'relate']"
528,"['define', 'client', 'requirement', 'formally', 'use', 'case']"
529,"['problem', 'encounter', 'activity']"
530,"['sprint', 'plan', 'sprint', 'backlog']"
531,"['list', 'individually', 'member', 'part', 'percentage', 'contribution', 'work', 'fill', 'google', 'form']"
532,"['keep', 'mind', 'idea', 'stay', 'way', 'mainstream', 'adherent', 'serve', 'underserved', 'population']"
533,"['sprint', 'plan', 'sprint', 'backlog']"
534,"['home', 'announcement', 'syllabus', 'assignment', 'quiz', 'grade', 'people', 'zoom', 'page', 'file', 'rubric', 'discussion', 'new', 'analytics', 'add', 'ta']"
535,"['remember', 'idea', 'get', 'way', 'mainstream', 'help', 'underserved', 'population']"
536,"['evangelize', 'exactly']"
537,"['sprint', 'team', 'meeting']"
538,"['r', 'mainly', 'formative', 'empirical', 'work', 'derive', 'p', 'part', 'proposal']"
539,"['keep', 'mind', 'student', 'already', 'assess', 'use', 'rubric']"
540,"['c', 'quality', 'attribute', 'convert', 'non', 'functional', 'requirement']"
541,"['hand', 'follow', 'copy', 'per', 'group']"
542,"['download', 'template', 'template']"
543,"['keep', 'mind', 'student', 'already', 'assess', 'use', 'rubric']"
544,"['example', 'add', 'random', 'dog', 'photo', 'feature', 'power', 'teammate', 'picture', 'service', 'also', 'need', 'random', 'dog', 'button', 'etc', 'time', 'wo', 'update', 'task', 'management', 'system', 'since', 'already', 'practice', 'answer', 'question', 'instruction', 'write', 'post', 'answer', 'question', 'use', 'microservice', 'explain', 'teammate', 'access', 'microservice', 'microservice', 'publicly', 'host', 'web', 'server', 'expect', 'teammate', 'run', 'locally', 'anything', 'else', 'need', 'say', 'need', 'explain', 'current', 'state', 'microservice', 'microservice', 'currently', 'ready', 'others', 'use', 'need', 'do', 'microservice', 'use', 'individual', 'project', 'explain', 'understanding', 'access', 'microservice', 'publicly', 'host', 'web', 'server', 'go', 'run', 'machine', 'exist', 'another', 'way', 'use', 'say', 'way', 'teammate', 'microservice', 'part', 'individual', 'project', 'functionality', 'part', 'addition', 'teammate', 'microservice', 'work', 'individual', 'project', 'implementation', 'sprint', 'example', 'create', 'new', 'feature', 'use', 'service', 'provide', 'teammate', 'teammate', 'post', 'inconsistent', 'best', 'get', 'touch', 'question', 'answer', 'put', 'answer', 'document', 'post', 'time', 'would', 'probably', 'best', 'post', 'directly', 'board', 'instead', 'create', 'document', 'separate', 'much', 'write', 'implementation', 'need', 'besides', 'individual', 'project', 'speak', 'teammate', 'microservice', 'next', 'week', 'need', 'show', 'individual', 'project', 'use', 'microservice', 'need', 'obvious', 'ui', 'implementation', 'need', 'do', 'meet', 'requirement']"
545,"['multiple', 'retrospective', 'question', 'unanswered', 'vague']"
546,"['recommend', 'post', 'creation', 'early', 'respond', 'others', 'early', 'encourage', 'others']"
547,"['heuristic', 'evaluation', 'example']"
548,"['post', 'diagram']"
549,"['team', 'member', 'people', 'team']"
550,"['overview', 'implement', 'microservice', 'share', 'video', 'friend', 'show', 'work']"
551,"['evaluation', 'short', 'fully', 'align', 'heuristic', 'vague']"
552,"['studio', 'site', 'org']"
553,"['client', 'look', 'app', 'allow', 'enter', 'favorite', 'meal', 'ingredient', 'meal', 'transform', 'ethical']"
554,"['answer', 'three', 'question', 'since', 'last', 'status', 'update', 'plan', 'next', 'status', 'update', 'something', 'prevents', 'plan']"
555,"['answer', 'follow', 'team', 'communication', 'go', 'well', 'go', 'well', 'team', 'agree', 'improve', 'sprint']"
556,"['please', 'one', 'person', 'group', 'submit', 'assignment']"
557,"['answer', 'three', 'question', 'do', 'since', 'last', 'status', 'update', 'plan', 'next', 'status', 'update', 'something', 'prevents', 'plan']"
558,"['kind', 'work', 'class', 'dividing', 'conquer', 'never', 'end', 'well', 'piece', 'never', 'fit', 'together', 'quite', 'right']"
559,"['prototype', 'work', 'population']"
560,"['sure', 'present', 'prototype', 'define', 'use', 'case', 'way', 'avoid', 'give', 'impression', 'two', 'separate', 'application', 'one', 'package', 'feature', 'prototype', 'member', 'population', 'use']"
561,"['choose', 'three', 'favorite', 'project', 'team', 'decide', 'team']"
562,"['screenshot', 'show', 'git', 'hub', 'release']"
563,"['q', 'hard', 'show', 'one', 'feature', 'without', 'show', 'rest', 'page']"
564,"['read', 'teammate', 'submission', 'assignment', 'set', 'post', 'ask', 'team', 'feedback', 'ui', 'design']"
565,"['tip', 'research', 'paper', 'good', 'resource']"
566,"['make', 'submit', 'team', 'portion', 'canvas']"
567,"['rule', 'software', 'version', 'number', 'follow', 'stack', 'overflow', 'wonder', 'version', 'number', 'good', 'place', 'check', 'idea']"
568,"['individually', 'give', 'honest', 'assessment', 'much', 'task', 'use', 'quiz']"
569,"['many', 'use', 'case', 'scenarios', 'final', 'agreed', 'upon', 'use', 'case', 'project', 'follow', 'correspondence', 'dr']"
570,"['start', 'proj', 'use', 'case', 'final', 'list', 'might', 'project', 'might', 'change']"
571,"['download', 'template', 'template']"
572,"['yeah', 'five', 'key', 'feature', 'app', 'follow', 'first', 'one', 'would', 'like', 'one', 'able', 'enter', 'skill', 'particular', 'course', 'someone', 'else', 'fee', 'inside', 'web', 'app']"
573,"['concept', 'tie', 'least', 'one', 'use', 'case', 'project']"
574,"['individually', 'give', 'honest', 'assessment', 'much', 'assignment']"
575,"['respond', 'teammate', 'reflection', 'cognitive', 'style', 'either', 'something', 'find', 'interest', 'reflection', 'way', 'differ', 'cognitive', 'style', 'way', 'agree', 'similar', 'cognitive', 'style', 'set', 'per', 'teammate']"
576,"['point', 'date', 'persona']"
577,"['interview', 'format', 'mention', 'report', 'ex', 'say', 'conduct', 'semi', 'structure', 'interview', 'semi', 'structure', 'interview']"
578,"['write', 'application', 'scenario', 'project', 'work', 'concept']"
579,"['context', 'company', 'translator', 'decide', 'need', 'use', 'persona', 'help', 'good', 'job']"
580,"['review', 'mv', 'p', 'teammate']"
581,"['overview', 'implement', 'microservice', 'share', 'video', 'teammate', 'show', 'work']"
582,"['send', 'finished', 'report', 'pdf', 'word']"
583,"['want', 'create', 'team', 'find', 'one', 'five', 'people', 'choose', 'team', 'name']"
584,"['paper', 'prototypes', 'second', 'draft']"
585,"['also', 'want', 'app', 'guide', 'trailhead', 'location', 'click', 'navigation', 'button', 'bring', 'google', 'map', 'navigation', 'provider']"
586,"['every', 'team', 'member', 'need', 'part', 'presentation', 'individually', 'grade']"
587,"['please', 'indicate', 'report', 'team', 'member', 'participate', 'interview', 'observation']"
588,"['microservice', 'publicly', 'host', 'web', 'server', 'run', 'machine', 'way', 'use', 'say', 'way', 'teammate', 'microservice', 'part', 'individual', 'project', 'e', 'g', 'feature', 'part', 'besides', 'get', 'teammate', 'microservice', 'work', 'individual', 'project', 'implementation', 'sprint', 'e', 'g', 'build', 'new', 'feature', 'use', 'service', 'provide', 'teammate']"
589,"['evaluation', 'one', 'use', 'case', 'project', 'prototype', 'use', 'x', 'mag', 'method', 'underserved', 'well', 'mainstreamer', 'persona']"
590,"['publish', 'publish', 'click', 'unpublish']"
591,"['attach', 'detailed', 'observation', 'interview', 'response', 'verbal', 'non', 'verbal', 'separate', 'pdf', 'appendix']"
592,"['tinker', 'similar', 'pat', 'usually', 'learn', 'new', 'technology', 'tinker', 'around', 'occasionally', 'behave', 'like', 'abi', 'think', 'hardware', 'software', 'complex', 'instance', 'learn', 'use', 'slack', 'click', 'different', 'icon', 'see', 'happen', 'walk', 'tutorial', 'learn', 'use', 'favorite', 'ide']"
593,"['screen', 'screen', 'annotation', 'good', 'justify', 'design', 'decision', 'make', 'prototype']"
594,"['sprint', 'feedback']"
595,"['share', 'common']"
596,"['answer', 'three', 'question', 'since', 'last', 'status', 'update', 'plan', 'next', 'status', 'update', 'something', 'stop', 'plan']"
597,"['use', 'appendix', 'c', 'guide', 'describe', 'lifecycle', 'process', 'follow', 'create', 'character', 'family', 'planning', 'lifecycle', 'stage', 'pp']"
598,"['write', 'two', 'sentence', 'microservice']"
599,"['paper', 'prototype', 'show', 'every', 'screen', 'user', 'face', 'view', 'ui']"
600,"['state', 'whose', 'microservice', 'individual', 'project', 'use']"
601,"['may', 'choose', 'turn', 'single', 'combined', 'document', 'turn', 'concept', 'sketch', 'separate', 'file']"
602,"['someone', 'team', 'state', 'team', 'someone', 'fail', 'implement', 'service']"
603,"['research', 'question', 'fairly', 'thoroughly', 'answer', 'insight']"
604,['instruction']
605,"['homework', 'lot', 'like']"
606,"['week', 'sprint']"
607,"['report', 'submit', 'report', 'follow', 'one', 'copy', 'per', 'group']"
608,"['meet', 'team', 'decide', 'need', 'microservices']"
609,"['b', 'describe', 'two', 'facet', 'value', 'tend', 'use', 'interact', 'technology', 'sentence', 'per', 'facet', 'value']"
610,"['see', 'every', 'friend', 'mv', 'p']"
611,"['get', 'know', 'teammate']"
612,"['come', 'name', 'call', 'hike', 'trail', 'feel', 'free', 'change', 'name', 'like', 'cool', 'either', 'web', 'mobile', 'app', 'team', 'choose', 'outdoor', 'activity', 'lover', 'know', 'hike', 'one', 'best', 'activity', 'enjoy', 'almost', 'every', 'season', 'main', 'purpose', 'piece', 'software', 'give', 'best', 'choice', 'necessary', 'information', 'hike', 'trail', 'user', 'specifically', 'base', 'physical', 'fitness', 'level', 'user', 'ideally', 'software', 'would', 'help', 'user', 'enjoy', 'hike', 'also', 'improve', 'fitness', 'go', 'trail', 'doable', 'still', 'challenging', 'fun', 'familiar', 'app', 'call', 'trail', 'similar', 'definitely', 'serve', 'user', 'even', 'well', 'fun']"
613,"['change', 'affect', 'evaluation']"
614,"['screen', 'screen', 'annotation', 'best', 'justify', 'design', 'decision', 'make', 'prototype']"
615,"['question', 'feel', 'free', 'ask']"
616,"['part', 'team', 'ground', 'rule']"
617,"['sprint', 'reading']"
618,"['show', 'code', 'read', 'file', 'good', 'measure', 'show', 'timestamp', 'file', 'change']"
619,"['minimum', 'viable', 'product', 'mvp', 'request', 'feedback', 'team']"
620,"['first', 'status', 'update']"
621,"['need', 'choose', 'two', 'slice', 'population', 'dimension', 'one', 'diversity', 'marginalize', 'current', 'software', 'probably', 'software', 'product', 'subset', 'feature', 'plan', 'redesign']"
622,"['download', 'complete', 'task']"
623,['oct']
624,"['diagram', 'show', 'implement', 'microservice', 'individual', 'project', 'use', 'microservices']"
625,"['user', 'perform', 'task', 'way', 'would', 'normally']"
626,"['point', 'mention', 'triangulation']"
627,"['video', 'show', 'mvp', 'reflect', 'csh']"
628,"['research', 'question', 'fairly', 'thoroughly', 'answer', 'insight']"
629,"['complete', 'prototype', 'various', 'fidelity', 'level', 'plus', 'x', 'mag', 'evaluation', 'result']"
630,"['file', 'upload']"
631,"['share', 'common']"
632,"['also', 'suggest', 'multiple', 'team', 'member', 'participate', 'observation', 'interview', 'one', 'person', 'interview', 'another', 'person', 'take', 'note', 'need', 'transcribe', 'participant', 'answer', 'much', 'possible']"
633,"['docx', 'use', 'template', 'optional', 'post', 'complete', 'assignment', 'post', 'say', 'agree', 'diagram', 'see', 'additional', 'resource', 'diagramming', 'tool', 'uml', 'portion', 'assignment', 'visual', 'paradigm', 'lucidchart']"
634,"['find', 'section']"
635,"['part', 'git', 'hub']"
636,[]
637,[]
638,"['get', 'know', 'teammate', 'get', 'feedback', 'ui', 'design', 'see', 'others', 'approach', 'ui', 'design', 'might', 'give', 'ideas', 'instruction', 'read', 'teammate', 'assignment', 'submission', 'post', 'request', 'feedback', 'team', 'ui', 'design', 'upload', 'document', 'discussion', 'board', 'feedback', 'teammate', 'teammate', 'respond', 'cognitive', 'style', 'reflection', 'respond', 'teammate', 'cognitive', 'style', 'reflection', 'either', 'something', 'find', 'interest', 'reflection', 'way', 'two', 'different', 'cognitive', 'style', 'way', 'two', 'alike', 'cognitive', 'style', 'sentence', 'per', 'teammate', 'ui', 'design', 'respond', 'positive', 'comment', 'ui', 'design', 'suggestion', 'question', 'need', 'provide', 'draw', 'sentence', 'per', 'teammate', 'need', 'include', 'quote', 'screenshot', 'teammate', 'show', 'respond']"
639,"['already', 'team', 'one', 'person', 'team', 'need', 'submit', 'signup', 'form']"
640,"['submit', 'complete', 'report', 'pdf', 'word']"
641,"['post', 'outcome', 'result', 'learn', 'mastery', 'gradebook']"
642,"['rating', 'max', 'score']"
643,"['sprint', 'contribution', 'commits']"
644,"['provide', 'context', 'feature', 'roughly', 'outline', 'else', 'page']"
645,"['multiple', 'retrospective', 'question', 'unanswered', 'vague']"
646,"['must', 'include', 'teammate', 'communicate', 'canvas', 'team', 'discord', 'responsiveness', 'expectation', 'teammate', 'within', 'hour', 'someone', 'implement', 'service', 'person', 'post', 'document', 'include', 'point', 'individually', 'post', 'agree', 'basic', 'rule']"
647,"['sprint', 'plan', 'definition', 'do']"
648,"['keep', 'mind', 'student', 'already', 'assess', 'use', 'rubric']"
649,"['provide', 'team', 'feedback', 'microservices']"
650,"['group', 'turn', 'following', 'copy', 'per', 'group']"
651,"['view', 'read', 'project', 'option']"
652,"['three', 'part', 'installment', 'team', 'report', 'team', 'presentation', 'individual', 'form', 'fill', 'team', 'member', 'much', 'work', 'assignment']"
653,"['respond', 'least', 'post']"
654,"['team', 'work', 'one', 'project', 'term']"
655,"['software', 'engineering', 'cs']"
656,"['team', 'create', 'sprint', 'plan', 'start', 'coding', 'end', 'sprint', 'git', 'hub', 'release', 'sprint', 'retrospective', 'create', 'demo', 'video', 'client', 'along', 'way', 'team', 'update', 'ui', 'design', 'base', 'sprint', 'heuristic', 'evaluation', 'people', 'outside', 'team', 'separate', 'assignment', 'update', 'ui', 'design']"
657,"['step', 'download', 'complete', 'task']"
658,"['use', 'mainly', 'present', 'tense']"
659,"['grader', 'see', 'none', 'code', 'smell', 'code']"
660,"['ethical', 'interpretation', 'could', 'include', 'consideration', 'environmental', 'impact', 'animal', 'welfare', 'worker', 'right', 'problematic', 'corporate', 'tie', 'specific', 'consideration', 'include', 'app', 'group', 'want', 'good', 'person', 'know']"
661,[]
662,"['someone', 'team', 'post', 'team', 'note', 'go', 'well', 'poorly', 'improve', 'communication']"
663,"['access', 'site', 'must', 'enable', 'java', 'script']"
664,"['answer', 'question', 'list', 'point', 'presentation', 'deadline', 'may', 'pass', 'do']"
665,"['sender', 'book', 'pay', 'ship']"
666,"['let', 'program', 'communicate', 'via', 'text', 'file', 'described']"
667,"['q', 'submit', 'form', 'get', 'confirmation', 'email']"
668,"['sketch', 'diagram', 'show']"
669,"['provide', 'sprint', 'goal']"
670,"['necessary', 'insert', 'quote', 'picture', 'friend', 'show', 'respond']"
671,['sep']
672,"['complete', 'work', 'sign']"
673,"['rubber', 'duck', 'debug', 'rdd']"
674,"['specifically', 'describe', 'design', 'reflect', 'heuristic', 'two', 'sentence', 'vague']"
675,"['complete', 'prototype', 'use', 'case', 'detail']"
676,"['tip', 'one', 'first']"
677,"['company', 'x', 'pretend', 'answer', 'category', 'show', 'pp']"
678,"['git', 'hub', 'recommend', 'semantic', 'versioning']"
679,"['want', 'user', 'individual', 'want', 'recycle', 'specific', 'item', 'consider', 'observe', 'interview', 'recyclers', 'trouble', 'find', 'right', 'venue', 'etc']"
680,"['clearly', 'explain', 'go', 'access', 'teammate', 'microservice', 'grader', 'understands']"
681,"['participant', 'strongly', 'suggest', 'observe', 'interview', 'example', 'structure', 'meeting', 'participant', 'might', 'first', 'briefly', 'interview', 'minute', 'observe', 'participant', 'minute', 'another', 'interview', 'last', 'minute', 'ask', 'question', 'observe', 'example', 'another', 'option', 'conduct', 'background', 'survey', 'structure', 'meeting', 'need', 'easy', 'way', 'observe', 'participant', 'observe', 'doctor', 'interview', 'session', 'take', 'least', 'minute', 'minute', 'would', 'fine']"
682,"['docx', 'use', 'template', 'optional', 'step', 'reply', 'assignment', 'attach', 'additional', 'resource', 'rule', 'software', 'version', 'number', 'follow', 'stack', 'overflow', 'wonder', 'version', 'number', 'good', 'place', 'check', 'idea', 'git', 'hub', 'recommend', 'semantic', 'versioning', 'question', 'answer', 'reflect', 'csh', 'need', 'idea', 'go', 'reading', 'check', 'gender', 'mag', 'design', 'catalog']"
683,"['answer', 'retrospective', 'question', 'sprint', 'see', 'scrum', 'guide']"
684,"['program', 'communicate', 'via', 'text', 'file', 'described']"
685,"['part', 'functional', 'requirement']"
686,"['turn', 'sentence', 'say', 'one', 'choose', 'list', 'heuristic', 'cw', 'question', 'process', 'require', 'use', 'refer', 'inclusive', 'mag', 'doc', 'previous', 'team', 'choice', 'example', 'heuristic', 'gender', 'mag']"
687,"['create', 'area', 'user', 'post', 'request', 'book', 'remember', 'name', 'ask', 'suggestion']"
688,"['read', 'rest', 'source', 'presentation']"
689,"['strongly', 'suggest', 'observe', 'interview']"
690,"['explain', 'prototype', 'way']"
691,"['submit', 'document', 'contain']"
692,"['individually', 'indicate', 'member', 'part', 'work', 'percentage', 'contribute', 'fill', 'google', 'form']"
693,"['note', 'everyone', 'use', 'friend', 'microservices', 'individual', 'project', 'everyone', 'microservices', 'use', 'teammate']"
694,"['previous', 'discussion', 'project', 'showcase']"
695,"['make', 'usable', 'people', 'understand', 'use', 'software', 'without', 'make', 'lot', 'mistake', 'get', 'frustrate']"
696,['detail']
697,"['create', 'area', 'user', 'post', 'request', 'book', 'remember', 'name', 'want', 'ask', 'suggestion']"
698,"['data', 'source', 'instead', 'write', 'assumption', 'want', 'use', 'mainstreamers']"
699,"['clarify', 'trivial', 'assumption', 'user', 'state', 'eg', 'location', 'service', 'enable']"
700,"['previous', 'module', 'week']"
701,"['motivation', 'motivate', 'task', 'completion']"
702,"['influence', 'activity', 'people', 'engage']"
703,"['make', 'sure', 'prototype', 'report', 'clear', 'enough', 'help', 'understand', 'user', 'mainstream', 'underrepresented', 'use', 'app', 'prototyped']"
704,"['respond', 'positive', 'comment', 'ui', 'design', 'suggestion', 'question']"
705,"['already', 'rat', 'student', 'rubric', 'major', 'change', 'could', 'affect', 'assessment', 'result']"
706,"['make', 'sure', 'prototype', 'report', 'clear', 'enough', 'understand', 'underrepresented', 'mainstream', 'user', 'use', 'app', 'prototyped']"
707,"['note', 'page', 'number', 'refer', 'printed', 'book']"
708,"['filter', 'result', 'user', 'physical', 'fitness', 'level', 'show', 'match', 'trail', 'user', 'also', 'choose', 'want', 'feel', 'hike', 'easy', 'chill', 'best', 'match', 'fitness', 'level', 'challenge', 'affect', 'search', 'result', 'base', 'user', 'select']"
709,"['give', 'honest', 'assessment', 'job', 'well', 'use', 'quiz']"
710,"['submit', 'copy', 'per', 'group']"
711,"['part', 'cognitive', 'style', 'heuristic']"
712,"['one', 'button', 'user', 'command', 'want']"
713,"['question', 'feel', 'free', 'dm', 'email', 'happy', 'answer', 'question', 'discuss', 'look', 'term', 'project', 'choose', 'thank']"
714,"['example', 'push', 'code', 'production', 'always', 'read', 'multiple', 'time', 'although', 'test']"
715,"['video', 'show', 'mvp', 'reflect', 'csh']"
716,"['expect', 'target', 'low', 'fidelity', 'medium', 'fidelity']"
717,"['report', 'please', 'write', 'team', 'member', 'participate', 'interview', 'observation']"
718,[]
719,"['exhaustive', 'inventory', 'element', 'discuss', 'class']"
720,"['turn', 'following', 'copy', 'per', 'group']"
721,"['use', 'reference', 'number', 'tag', 'turn', 'via', 'previous', 'assignment', 'since', 'add', 'eventually', 'turn', 'final', 'project', 'tell', 'eg', 'accord', 'kindergardners', 'yet', 'read', 'full', 'sentence']"
722,"['video', 'client', 'briefly', 'describe', 'software', 'would', 'like']"
723,['apr']
724,"['include', 'element', 'system', 'user', 'need', 'interact', 'work', 'task']"
725,"['provide', 'url', 'url', 'work', 'url', 'incorrect']"
726,"['nothing', 'complicate', 'let', 'program', 'communicate', 'via', 'text', 'file', 'described']"
727,"['delete', 'point', 'rubric']"
728,"['blind', 'still', 'need', 'able', 'navigate', 'around', 'see', 'outline', 'view', 'tell', 'difference', 'heading', 'regular', 'text', 'understand', 'figure']"
729,"['medium', 'fidelity', 'use', 'figma']"
730,"['write', 'report', 'team', 'member', 'participate', 'interview', 'observation']"
731,"['make', 'commits', 'sprint']"
732,"['several', 'people', 'observe', 'several', 'different', 'thing', 'addition', 'member', 'team', 'must', 'participate', 'least', 'one', 'observation', 'interview']"
733,"['screen', 'screen', 'annotation', 'best', 'justify', 'design', 'decision', 'make', 'prototype']"
734,"['include', 'system', 'elements', 'user', 'must', 'interact', 'work', 'task']"
735,"['download', 'sample', 'prior', 'year', 'similar', 'exactly', 'assignment', 'criterion']"
736,"['question', 'concern', 'teammate', 'microservice', 'understand', 'microservice', 'communication', 'contract', 'time', 'sort', 'already', 'instruction', 'write', 'post', 'contain', 'question', 'teammate', 'write', 'microservice', 'individual', 'project', 'use', 'see', 'reference', 'assignment', 'sprint', 'plan', 'microservice', 'publish', 'communication', 'contract', 'assignment', 'microservice', 'implementation', 'request', 'feedback', 'team', 'anything', 'important', 'teammate', 'need', 'know', 'microservice', 'create', 'use', 'question', 'anything', 'important', 'tell', 'teammate', 'write', 'none', 'teammate', 'question', 'please', 'answer', 'soon', 'either', 'via', 'discussion', 'another', 'communication', 'channel']"
737,"['instruction', 'answer', 'three', 'question', 'since', 'last', 'status', 'update', 'plan', 'next', 'status', 'update', 'something', 'prevents', 'plan', 'optional', 'respond', 'teammate', 'whose', 'blocker', 'may', 'able', 'block', 'help', 'clearly']"
738,[]
739,"['use', 'project', 'system', 'describe', 'task', 'would', 'user', 'perform', 'observe']"
740,"['fill', 'highlight', 'area']"
741,"['answer', 'two', 'question', 'plan', 'next', 'status', 'update', 'something', 'prevents', 'plan', 'optional']"
742,"['would', 'like', 'form', 'team', 'find', 'one', 'exactly', 'five', 'people', 'decide', 'team', 'name']"
743,['nan']
744,"['see', 'pp', 'end', 'look', 'like', 'bullet', 'middle', 'p']"
745,"['use', 'rubric', 'grade', 'assignment']"
746,"['session', 'take', 'least', 'minute', 'minute', 'would', 'good']"
747,"['fill', 'gap', 'choose', 'following', 'analytical', 'process', 'use', 'x', 'mag', 'derive', 'inclusive', 'mag', 'version', 'cognitive', 'walkthrough', 'cw', 'one', 'experience', 'gender', 'mag', 'version', 'heuristic', 'evaluation']"
748,"['instead', 'answer', 'following', 'question']"
749,"['find', 'rubric']"
750,"['draw', 'diagram', 'showing']"
751,"['app', 'want', 'book', 'swap', 'app']"
752,"['overview', 'receive', 'provide', 'mvp', 'feedback']"
753,"['provide', 'screenshots', 'user', 'story', 'task', 'management', 'system']"
754,"['information', 'instruction', 'team', 'discus', 'sprint', 'term', 'communication', 'answer', 'following', 'question', 'team', 'communication', 'retrospective', 'post', 'contribute', 'everyone', 'must', 'contribute', 'retrospective', 'agreement', 'retrospective', 'must', 'unanimous', 'otherwise', 'discussion']"
755,[]
756,"['example', 'add', 'random', 'dog', 'photo', 'feature', 'support', 'friend', 'picture', 'service', 'also', 'need', 'random', 'dog', 'button', 'etc', 'time', 'need', 'update', 'task', 'management', 'system', 'already', 'practice', 'answer', 'question', 'instruction', 'write', 'post', 'answer', 'question', 'use', 'microservices', 'do', 'tell', 'describe', 'current', 'status', 'microservice', 'microservice', 'currently', 'ready', 'use', 'others', 'microservices', 'publicly', 'host', 'web', 'server', 'run', 'machine', 'another', 'way', 'use', 'say', 'way', 'teammate', 'microservices', 'part', 'individual', 'project', 'example', 'feature', 'implement', 'part', 'addition', 'create', 'microservices', 'teammate', 'work', 'individual', 'project', 'implementation', 'sprint', 'create', 'new', 'feature', 'use', 'service', 'provide', 'teammate', 'teammate', 'submission', 'consistent', 'best', 'contact', 'question', 'answer', 'put', 'answer', 'document', 'send', 'time', 'would', 'probably', 'best', 'send', 'directly', 'board', 'instead', 'create', 'separate', 'document', 'much', 'write', 'implementation', 'need', 'addition', 'take', 'individual', 'project', 'speak', 'microservice', 'friend', 'next', 'week', 'show', 'individual', 'project', 'use', 'microservices', 'prove', 'ui', 'implementation', 'whatever', 'meet', 'requirement']"
757,"['example', 'try', 'make', 'sense', 'long', 'document']"
758,"['point', 'undeserved', 'persona', 'foundation', 'embed']"
759,['turn']
760,"['part', 'microservices', 'architecture']"
761,"['recommendation', 'base', 'current', 'season', 'type', 'select', 'trail', 'example', 'trail', 'lot', 'inclined', 'elevation', 'gain', 'hiking', 'pole', 'may', 'useful']"
762,"['exhaustive', 'inventory', 'element', 'discuss', 'class']"
763,"['implementation', 'team', 'get', 'choose', 'technology', 'stack']"
764,"['overview', 'implement', 'mvp']"
765,"['stated', 'three', 'quality', 'attribute']"
766,"['question', 'please', 'hesitate', 'contact', 'email', 'happy', 'answer', 'question', 'discuss', 'look', 'term', 'project', 'choose']"
767,"['focus', 'help', 'u', 'understand', 'people', 'care', 'bunch', 'stats', 'answer', 'question', 'list', 'point', 'submission', 'deadline', 'may', 'complete', 'objective', 'make', 'u', 'feel', 'like', 'know', 'character', 'feel', 'person']"
768,"['almost', 'right', 'example', 'say', 'use', 'case']"
769,"['make', 'u', 'feel', 'like', 'know', 'persona', 'feel', 'person']"
770,"['important', 'work', 'together', 'divide', 'conquer']"
771,"['important', 'work', 'together', 'divide', 'conquer']"
